,markers,direction
1710850906.665278,1.0,90.0
1710850906.687798,1.0,90.0
1710850906.697852,1.0,90.0
1710850906.721201,1.0,90.0
1710850906.737698,1.0,90.0
1710850906.7483761,1.0,90.0
1710850906.77003,1.0,90.0
1710850906.7872021,1.0,90.0
1710850906.804621,1.0,90.0
1710850906.814893,1.0,90.0
1710850906.838232,1.0,90.0
1710850906.849362,1.0,90.0
1710850906.870281,1.0,90.0
1710850906.887903,1.0,90.0
1710850906.904638,1.0,90.0
1710850906.9161742,1.0,90.0
1710850906.9383838,1.0,90.0
1710850906.9474208,1.0,90.0
1710850906.971908,1.0,90.0
1710850906.981846,1.0,90.0
1710850907.004756,1.0,90.0
1710850907.0138218,1.0,90.0
1710850907.038131,1.0,90.0
1710850907.0522408,1.0,90.0
1710850907.07021,1.0,90.0
1710850907.08799,1.0,90.0
1710850907.105023,1.0,90.0
1710850907.114539,1.0,90.0
1710850907.139301,1.0,90.0
1710850907.1482408,1.0,90.0
1710850907.1720278,1.0,90.0
1710850907.188826,1.0,90.0
1710850907.198123,1.0,90.0
1710850907.221219,1.0,90.0
1710850907.238265,1.0,90.0
1710850907.2522008,1.0,90.0
1710850907.2710688,1.0,90.0
1710850907.280851,1.0,90.0
1710850907.3035789,1.0,90.0
1710850907.321692,1.0,90.0
1710850907.331902,1.0,90.0
1710850907.354594,1.0,90.0
1710850907.371553,1.0,90.0
1710850907.386419,1.0,90.0
1710850907.404982,1.0,90.0
1710850907.418636,1.0,90.0
1710850907.437643,1.0,90.0
1710850907.454925,1.0,90.0
1710850907.464513,1.0,90.0
1710850907.487513,1.0,90.0
1710850907.5050418,1.0,90.0
1710850907.5191731,1.0,90.0
1710850907.537627,1.0,90.0
1710850907.554371,1.0,90.0
1710850907.5715961,1.0,90.0
1710850907.580965,1.0,90.0
1710850907.605031,1.0,90.0
1710850907.6220238,1.0,90.0
1710850907.6313531,1.0,90.0
1710850907.654737,1.0,90.0
1710850907.6641438,1.0,90.0
1710850907.688263,1.0,90.0
1710850907.701798,1.0,90.0
1710850907.722093,1.0,90.0
1710850907.734858,1.0,90.0
1710850907.754454,1.0,90.0
1710850907.7638988,1.0,90.0
1710850907.7883599,1.0,90.0
1710850907.797725,1.0,90.0
1710850907.8214679,1.0,90.0
1710850907.837785,1.0,90.0
1710850907.8546839,1.0,90.0
1710850907.8714502,1.0,90.0
1710850907.881272,1.0,90.0
1710850907.904774,1.0,90.0
1710850907.92148,1.0,90.0
1710850907.935849,1.0,90.0
1710850907.954581,1.0,90.0
1710850907.964115,1.0,90.0
1710850907.987682,1.0,90.0
1710850908.0050838,1.0,90.0
1710850908.0144022,1.0,90.0
1710850908.038167,1.0,90.0
1710850908.052932,1.0,90.0
1710850908.071218,1.0,90.0
1710850908.087693,1.0,90.0
1710850908.097385,1.0,90.0
1710850908.12153,1.0,90.0
1710850908.131138,1.0,90.0
1710850908.154966,1.0,90.0
1710850908.1645582,1.0,90.0
1710850908.188514,1.0,90.0
1710850908.1978502,1.0,90.0
1710850908.2203698,1.0,90.0
1710850908.236816,1.0,90.0
1710850908.253848,1.0,90.0
1710850908.27041,1.0,90.0
1710850908.286813,1.0,90.0
1710850908.303659,1.0,90.0
1710850908.320493,1.0,90.0
1710850908.337198,1.0,90.0
1710850908.354594,1.0,90.0
1710850908.3714602,1.0,90.0
1710850908.384794,1.0,90.0
1710850908.404414,1.0,90.0
1710850908.4183948,1.0,90.0
1710850908.438259,1.0,90.0
1710850908.451715,2.0,90.0
1710850908.471926,2.0,90.0
1710850908.485991,2.0,90.0
1710850908.504868,2.0,90.0
1710850908.514902,2.0,90.0
1710850908.5379899,2.0,90.0
1710850908.5550761,2.0,90.0
1710850908.568664,2.0,90.0
1710850908.588754,2.0,90.0
1710850908.60285,2.0,90.0
1710850908.621164,2.0,90.0
1710850908.637992,2.0,90.0
1710850908.655126,2.0,90.0
1710850908.671453,2.0,90.0
1710850908.681043,2.0,90.0
1710850908.704052,2.0,90.0
